SKU,REGION_CD,REG_PRICE,CURR_PRICE,PRICE_TYPE,PROMO_ID,PROMO_EFF_DT,PROMO_END_DT,LAST_UPD_JOB
10082345,WC,498.00,498.00,R,,,,PRCLOAD0
10082345,NC,498.00,498.00,R,,,,PRCLOAD0
10090011,NE,699.00,699.00,R,,,,PRCLOAD0
10090011,SE,699.00,699.00,R,,,,PRCLOAD0
10090011,MW,699.00,699.00,R,,,,PRCLOAD0
10090011,WC,699.00,699.00,R,,,,PRCLOAD0
10090011,NC,699.00,699.00,R,,,,PRCLOAD0
10101010,NE,39.98,39.98,R,,,,PRCLOAD0
10101010,SE,39.98,39.98,R,,,,PRCLOAD0
10101010,MW,39.98,39.98,R,,,,PRCLOAD0
10101010,WC,39.98,39.98,R,,,,PRCLOAD0
10101010,NC,39.98,39.98,R,,,,PRCLOAD0
10115566,NE,79.98,79.98,R,,,,PRCLOAD0
10115566,SE,79.98,79.98,R,,,,PRCLOAD0
10115566,MW,79.98,79.98,R,,,,PRCLOAD0
10115566,WC,79.98,79.98,R,,,,PRCLOAD0
10115566,NC,79.98,79.98,R,,,,PRCLOAD0
10123344,NE,179.00,179.00,R,,,,PRCLOAD0
10123344,SE,179.00,179.00,R,,,,PRCLOAD0
10123344,MW,179.00,179.00,R,,,,PRCLOAD0
10123344,WC,179.00,179.00,R,,,,PRCLOAD0
10123344,NC,179.00,179.00,R,,,,PRCLOAD0
10138800,NE,29.98,29.98,R,,,,PRCLOAD0
10138800,SE,29.98,29.98,R,,,,PRCLOAD0
10138800,MW,29.98,29.98,R,,,,PRCLOAD0
10138800,WC,29.98,29.98,R,,,,PRCLOAD0
10138800,NC,29.98,29.98,R,,,,PRCLOAD0
10144477,NE,24.97,24.97,R,,,,PRCLOAD0
10144477,SE,24.97,24.97,R,,,,PRCLOAD0
10144477,MW,24.97,24.97,R,,,,PRCLOAD0
10144477,WC,24.97,24.97,R,,,,PRCLOAD0
10144477,NC,24.97,24.97,R,,,,PRCLOAD0
10150022,NE,164.00,164.00,R,,,,PRCLOAD0
10150022,SE,164.00,164.00,R,,,,PRCLOAD0
10150022,MW,164.00,164.00,R,,,,PRCLOAD0
10150022,WC,164.00,164.00,R,,,,PRCLOAD0
10150022,NC,164.00,164.00,R,,,,PRCLOAD0
10166789,NE,399.00,399.00,R,,,,PRCLOAD0
10166789,SE,399.00,399.00,R,,,,PRCLOAD0
10166789,MW,399.00,399.00,R,,,,PRCLOAD0
10166789,WC,399.00,399.00,R,,,,PRCLOAD0
10166789,NC,399.00,399.00,R,,,,PRCLOAD0
10171122,NE,14.98,14.98,R,,,,PRCLOAD0
10171122,SE,14.98,14.98,R,,,,PRCLOAD0
10171122,MW,14.98,14.98,R,,,,PRCLOAD0
10171122,WC,14.98,14.98,R,,,,PRCLOAD0
10171122,NC,14.98,14.98,R,,,,PRCLOAD0
10188899,NE,449.00,449.00,R,,,,PRCLOAD0
10188899,SE,449.00,399.00,P,PRM2026090,2026-09-05,2026-09-19,PRCUPD01
10188899,MW,449.00,449.00,R,,,,PRCLOAD0
10188899,WC,449.00,449.00,R,,,,PRCLOAD0
10188899,NC,449.00,449.00,R,,,,PRCLOAD0
10199001,NE,349.00,349.00,R,,,,PRCLOAD0
10199001,SE,349.00,349.00,R,,,,PRCLOAD0
10199001,MW,349.00,349.00,R,,,,PRCLOAD0
10199001,WC,349.00,349.00,R,,,,PRCLOAD0
